cxc_id,num_cta,cod_apli_prod,descri_cod_apli_prod,cod_trn,descri_cod_trn,creation_date,reference_date,vlr_original,target_paid_120d,payment_probability_120d_oof,risk_segment,expected_full_recovery_120d,expected_non_full_recovery_exposure_120d
CXC_000001,84443321151,S,AHORRO,1517,COBRO SERVICIO TRANSPORTE,2025-02-11,2025-10-11,154.08,1,0.41305048248778203,riesgo_medio,63.64281834171746,90.43718165828254
CXC_000002,85352974856,S,AHORRO,2107,CARGO FISCAL IVA TRASLADO,2024-11-03,2025-10-11,1278.25,0,0.24976616092538884,alto_riesgo,319.26359520287826,958.9864047971217
CXC_000003,97822810913,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-05-01,2025-10-11,5646.89,1,0.6459497197459714,probable_pago,3647.6070129363284,1999.2829870636717
CXC_000004,38571076870,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2024-12-22,2025-10-11,285.77,0,0.3231112224271511,alto_riesgo,92.33549403300697,193.43450596699302
CXC_000005,92759986619,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-02-22,2025-10-11,17048.76,0,0.3260135733439439,alto_riesgo,5558.127168683296,11490.632831316703
CXC_000006,45058872234,S,AHORRO,788,TRANSFERENCIA CANAL FISICO,2025-05-21,2025-10-11,370.19,1,0.3162505362270157,alto_riesgo,117.07278600587894,253.11721399412104
CXC_000007,30719760344,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-05-03,2025-10-11,27623.59,1,0.643627554200458,probable_pago,17779.30366993623,9844.28633006377
CXC_000008,25026503559,S,AHORRO,1517,COBRO SERVICIO TRANSPORTE,2024-12-30,2025-10-11,693.88,0,0.36450073269739935,alto_riesgo,252.91976840407148,440.9602315959285
CXC_000009,23809278607,S,AHORRO,497,PAGO SERVICIO ELECTRONICO,2024-11-27,2025-10-11,2039.71,0,0.30116538537636955,alto_riesgo,614.2900482060347,1425.419951793965
CXC_000010,97668253073,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-03-12,2025-10-11,637.51,0,0.4680867005915094,riesgo_medio,298.40995249409315,339.1000475059068
CXC_000011,48150626436,S,AHORRO,1517,COBRO SERVICIO TRANSPORTE,2025-02-01,2025-10-11,1464.14,0,0.3840994677803774,alto_riesgo,562.3753947559618,901.7646052440383
CXC_000013,54242783600,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-01-06,2025-10-11,1001.68,1,0.2652561197622693,alto_riesgo,265.70175004346993,735.97824995653
CXC_000014,35950903644,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-03-09,2025-10-11,1495.84,0,0.4360659546691231,riesgo_medio,652.284897632261,843.5551023677389
CXC_000015,29045469771,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-04-19,2025-10-11,22000.35,0,0.5447717858692444,riesgo_medio,11985.16995924843,10015.18004075157
CXC_000016,28668914281,S,AHORRO,1517,COBRO SERVICIO TRANSPORTE,2025-01-22,2025-10-11,6873.66,0,0.2796838282725978,alto_riesgo,1922.4515430442245,4951.208456955776
CXC_000017,62111847617,S,AHORRO,2048,COMISION TRANSFERENCIA EXTERNA A,2024-10-17,2025-10-11,3305.85,0,0.19150400629753417,alto_riesgo,633.0835192187033,2672.7664807812967
CXC_000018,89925804188,S,AHORRO,329,DEBITO ABONO CARTERA,2025-06-05,2025-10-11,300000.0,1,0.5780081086267793,riesgo_medio,173402.4325880338,126597.5674119662
CXC_000019,19884966007,S,AHORRO,1157,COMISION CONSULTA SALDO,2025-04-10,2025-10-11,5890.14,0,0.49133558128431315,riesgo_medio,2894.0353607459842,2996.1046392540156
CXC_000020,36111903715,S,AHORRO,137,COMISION RETIRO CANAL A,2024-10-19,2025-10-11,4607.31,0,0.15403477416391695,alto_riesgo,709.6859553531563,3897.624044646844
CXC_000021,53726630683,S,AHORRO,574,COMISION RETIRO INTERNACIONAL,2025-01-03,2025-10-11,6643.8,0,0.10341247403754798,alto_riesgo,687.0517950106613,5956.748204989339
CXC_000023,78409066180,S,AHORRO,176,COMISION RETIRO CORRESPONSAL B,2025-01-17,2025-10-11,877.94,1,0.2429321321961331,alto_riesgo,213.27983614027312,664.6601638597269
CXC_000024,80382339396,S,AHORRO,1705,TRANSFERENCIA BOTON DIGITAL,2024-10-29,2025-10-11,355.69,1,0.2619614666453133,alto_riesgo,93.17707407107147,262.5129259289285
CXC_000025,35011715267,S,AHORRO,137,COMISION RETIRO CANAL A,2024-12-15,2025-10-11,4458.15,0,0.29326601716962625,alto_riesgo,1307.423894444769,3150.726105555231
CXC_000026,56585937906,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-01-04,2025-10-11,6653.95,1,0.2581143087847377,alto_riesgo,1717.4797049382053,4936.470295061794
CXC_000027,82412333755,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-01-25,2025-10-11,148.25,0,0.26441916710663715,alto_riesgo,39.200141523558955,109.04985847644105
CXC_000028,78940944080,S,AHORRO,2285,APERTURA INVERSION VIRTUAL,2025-02-12,2025-10-11,3417.62,0,0.5712143259578326,riesgo_medio,1952.193504680008,1465.426495319992
CXC_000029,61629564269,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2024-12-30,2025-10-11,2345.47,0,0.3333801470944322,alto_riesgo,781.9331336055778,1563.536866394422
CXC_000030,86627782134,S,AHORRO,1157,COMISION CONSULTA SALDO,2025-06-29,2025-10-11,3187.36,1,0.6832544852009891,probable_pago,2177.7780159502245,1009.5819840497754
CXC_000031,86682309522,S,AHORRO,1705,TRANSFERENCIA BOTON DIGITAL,2025-03-11,2025-10-11,280.22,1,0.5776215242606161,riesgo_medio,161.86110352830985,118.35889647169017
CXC_000032,51139249706,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-04-10,2025-10-11,3259.68,1,0.5485540541698612,riesgo_medio,1788.1106792964133,1471.5693207035865
CXC_000033,37106417638,S,AHORRO,176,COMISION RETIRO CORRESPONSAL B,2025-01-09,2025-10-11,2831.48,0,0.25348148654765357,alto_riesgo,717.7277595299502,2113.75224047005
CXC_000034,82947584327,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2024-12-04,2025-10-11,2123.66,1,0.3214623753969217,alto_riesgo,682.6767881354267,1440.9832118645731
CXC_000035,54440385719,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-04-04,2025-10-11,1382.34,1,0.5436713509630893,riesgo_medio,751.5386552903168,630.8013447096831
CXC_000036,60668093839,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-01-21,2025-10-11,862.72,0,0.27594256924278004,alto_riesgo,238.0611733371312,624.6588266628688
CXC_000037,53364452224,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-03-09,2025-10-11,41755.45,0,0.42621846886554143,riesgo_medio,17796.94396579167,23958.506034208323
CXC_000038,32843913874,S,AHORRO,2048,COMISION TRANSFERENCIA EXTERNA A,2024-11-08,2025-10-11,19675.99,1,0.3956652627192498,alto_riesgo,7785.105752611333,11890.884247388669
CXC_000039,98517471438,S,AHORRO,497,PAGO SERVICIO ELECTRONICO,2025-03-23,2025-10-11,87832.47,1,0.5316394587601654,riesgo_medio,46695.206812368466,41137.263187631535
CXC_000040,59568389609,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2024-10-19,2025-10-11,22227.01,0,0.16147270280686243,alto_riesgo,3589.0553800151592,18637.95461998484
CXC_000041,39052250494,S,AHORRO,2106,COMISION TRANSFERENCIA EXTERNA B,2024-11-03,2025-10-11,28129.34,0,0.2150983848721407,alto_riesgo,6050.575601519302,22078.764398480696
CXC_000042,39661033076,S,AHORRO,1517,COBRO SERVICIO TRANSPORTE,2025-02-09,2025-10-11,1331.77,1,0.3734285702881785,alto_riesgo,497.3209670526875,834.4490329473124
CXC_000043,74182945575,S,AHORRO,1787,PAGO PUNTO EXTERNO,2024-11-12,2025-10-11,539.85,1,0.2538429509462509,alto_riesgo,137.03711706833357,402.8128829316664
CXC_000044,77808414969,S,AHORRO,1734,CARGO MORA OBLIGACION,2025-03-23,2025-10-11,527.54,1,0.526127616607853,riesgo_medio,277.5533628653068,249.9866371346932
CXC_000045,97190182142,S,AHORRO,1157,COMISION CONSULTA SALDO,2025-06-10,2025-10-11,1170.4,0,0.67599698724686,probable_pago,791.186873873725,379.21312612627514
CXC_000046,95976845147,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2024-11-10,2025-10-11,1419.07,0,0.2378203234957098,alto_riesgo,337.4836864630569,1081.586313536943
CXC_000047,93796695131,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-04-09,2025-10-11,2443.06,1,0.5511179526606088,riesgo_medio,1346.4142254270268,1096.645774572973
CXC_000048,67367762459,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-04-23,2025-10-11,468.97,1,0.5666065234587997,riesgo_medio,265.7214613064733,203.2485386935267
CXC_000049,45998971782,S,AHORRO,2106,COMISION TRANSFERENCIA EXTERNA B,2025-01-28,2025-10-11,595.69,0,0.24441198249864426,alto_riesgo,145.5937738546174,450.0962261453826
CXC_000050,22624164094,S,AHORRO,2107,CARGO FISCAL IVA TRASLADO,2025-06-09,2025-10-11,6487.36,1,0.7492640688230806,probable_pago,4860.7457495201,1626.6142504798997
CXC_000051,38365468984,S,AHORRO,2106,COMISION TRANSFERENCIA EXTERNA B,2025-05-22,2025-10-11,1041.07,1,0.6246308301912495,probable_pago,650.2844183872041,390.7855816127958
CXC_000052,19877333447,S,AHORRO,1517,COBRO SERVICIO TRANSPORTE,2025-02-07,2025-10-11,913.43,0,0.3856619842667392,alto_riesgo,352.27522628876756,561.1547737112323
CXC_000053,53220609322,S,AHORRO,2107,CARGO FISCAL IVA TRASLADO,2025-01-01,2025-10-11,719.86,0,0.3294882825573744,alto_riesgo,237.18543508175154,482.6745649182485
CXC_000054,85416830563,S,AHORRO,87,CARGO FISCAL IVA COMISION B,2024-10-23,2025-10-11,7790.26,0,0.15820091754793988,alto_riesgo,1232.4262799370142,6557.833720062987
CXC_000055,69204277348,S,AHORRO,1157,COMISION CONSULTA SALDO,2024-12-31,2025-10-11,1239.73,1,0.23224907978885306,alto_riesgo,287.9261516866348,951.8038483133653
CXC_000056,15433220927,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-06-28,2025-10-11,1116.18,1,0.7440614585925859,probable_pago,830.5065188518726,285.6734811481275
CXC_000057,17609249256,S,AHORRO,75,OPERACION CAMBIO DIVISAS,2025-06-23,2025-10-11,271.54,1,0.2278490231181096,alto_riesgo,61.87012373749148,209.66987626250852
CXC_000058,25065785352,S,AHORRO,1878,PAGO PLATAFORMA ELECTRONICA,2024-11-03,2025-10-11,4948.28,0,0.23337456028946232,alto_riesgo,1154.8026691891405,3793.4773308108593
CXC_000059,84267650406,S,AHORRO,627,TRANSFERENCIA BILLETERA A,2025-02-14,2025-10-11,1175.95,0,0.38928395690218526,alto_riesgo,457.7784691191248,718.1715308808753
CXC_000060,99007958746,S,AHORRO,371,COMISION CANAL TELEFONICO,2025-05-05,2025-10-11,6373.0,0,0.6835147013463737,probable_pago,4356.039191680439,2016.9608083195603
CXC_000061,47041038338,S,AHORRO,2231,PAGO PROGRAMADO,2024-12-02,2025-10-11,111.02,0,0.5971975412762384,riesgo_medio,66.30087103248798,44.71912896751201
CXC_000062,98997524099,S,AHORRO,2106,COMISION TRANSFERENCIA EXTERNA B,2025-06-03,2025-10-11,767.01,1,0.7163106328818635,probable_pago,549.417418526718,217.59258147328188
CXC_000063,86916394339,S,AHORRO,2010,TRANSFERENCIA BANCA MOVIL,2024-10-25,2025-10-11,7247.49,1,0.2642195714567994,alto_riesgo,1914.9287019374392,5332.561298062561
CXC_000064,24227752136,S,AHORRO,627,TRANSFERENCIA BILLETERA A,2025-01-20,2025-10-11,1164.41,0,0.2910709669638094,alto_riesgo,338.92594464232934,825.4840553576707
CXC_000065,77206822050,S,AHORRO,1554,DEBITO OBLIGACION FINANCIERA,2024-11-21,2025-10-11,422.16,1,0.30204261964128254,alto_riesgo,127.51031230776384,294.64968769223617
CXC_000066,64395965979,S,AHORRO,365,PAGO CANAL QR,2024-11-28,2025-10-11,6246.0,0,0.3795016352474861,alto_riesgo,2370.3672137557983,3875.632786244202
CXC_000067,59788745499,S,AHORRO,137,COMISION RETIRO CANAL A,2025-01-04,2025-10-11,1302.78,0,0.19818082788834523,alto_riesgo,258.1860189563784,1044.5939810436216
CXC_000068,69498393998,S,AHORRO,176,COMISION RETIRO CORRESPONSAL B,2024-10-28,2025-10-11,1588.6,0,0.16339622011370653,alto_riesgo,259.57123527263417,1329.0287647273658
CXC_000069,27152228361,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2024-11-19,2025-10-11,7463.87,0,0.23985824646289267,alto_riesgo,1790.2707700269907,5673.59922997301
CXC_000070,95008148277,S,AHORRO,2106,COMISION TRANSFERENCIA EXTERNA B,2025-01-14,2025-10-11,583.97,1,0.20986188306085962,alto_riesgo,122.5530438510502,461.41695614894985
CXC_000071,40586882010,S,AHORRO,176,COMISION RETIRO CORRESPONSAL B,2025-02-16,2025-10-11,346.04,0,0.3388584185643415,alto_riesgo,117.25856716000474,228.7814328399953
CXC_000072,35178431407,S,AHORRO,497,PAGO SERVICIO ELECTRONICO,2025-03-19,2025-10-11,859.82,1,0.5583190645624487,riesgo_medio,480.0538980920847,379.76610190791536
CXC_000073,32268727222,S,AHORRO,1517,COBRO SERVICIO TRANSPORTE,2025-03-23,2025-10-11,15432.26,1,0.45701653528876096,riesgo_medio,7052.797996875334,8379.462003124665
CXC_000074,15578685000,S,AHORRO,87,CARGO FISCAL IVA COMISION B,2024-10-21,2025-10-11,615.91,1,0.18941006440265293,alto_riesgo,116.65955276623797,499.250447233762
CXC_000075,70988709976,D,CORRIENTE,834,CARGO FISCAL TRANSACCIONAL,2025-02-22,2025-10-11,75.38,0,0.31718503189855807,alto_riesgo,23.909407704513306,51.47059229548669
CXC_000076,42855496188,S,AHORRO,2287,RETIRO CANAL B,2025-05-17,2025-10-11,166.81,1,0.8165083275286176,alta_probabilidad_pago,136.2017541150487,30.6082458849513
CXC_000077,48660074769,S,AHORRO,834,CARGO FISCAL TRANSACCIONAL,2025-07-12,2025-10-11,1268.02,1,0.8054907441708264,alta_probabilidad_pago,1021.3783734234913,246.64162657650866
CXC_000078,99116282400,S,AHORRO,1517,COBRO SERVICIO TRANSPORTE,2025-01-05,2025-10-11,1867.93,0,0.2841067144197084,alto_riesgo,530.6914550660059,1337.238544933994
CXC_000079,38375846892,S,AHORRO,2106,COMISION TRANSFERENCIA EXTERNA B,2024-11-21,2025-10-11,1094.59,0,0.21514786713526837,alto_riesgo,235.4987038875934,859.0912961124066
CXC_000080,84132736036,S,AHORRO,176,COMISION RETIRO CORRESPONSAL B,2025-03-25,2025-10-11,607.59,0,0.4389067739097374,riesgo_medio,266.6753667598174,340.91463324018264
