source_row_id,cxc_id,cod_apli_prod,descri_cod_apli_prod,num_cta,cod_trn,descri_cod_trn,creation_date,last_payment_date,reference_date,vlr_original,vlr_pagado,vlr_pendiente_pago,age_days,days_since_last_payment,days_creation_to_last_payment,recovery_rate,pending_rate,payment_status,is_fully_paid,is_partially_paid,is_unpaid,is_amount_consistent,has_payment_date_without_paid_amount,age_bucket
1,CXC_000001,S,AHORRO,84443321151,1517,COBRO SERVICIO TRANSPORTE,2025-02-11,2025-04-11,2025-10-11,154.08,154.08,0.0,242,183,59,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
2,CXC_000002,S,AHORRO,85352974856,2107,CARGO FISCAL IVA TRASLADO,2024-11-03,2025-09-21,2025-10-11,1278.25,1278.25,0.0,342,20,322,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
3,CXC_000003,S,AHORRO,97822810913,834,CARGO FISCAL TRANSACCIONAL,2025-05-01,2025-06-25,2025-10-11,5646.89,5646.89,0.0,163,108,55,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
4,CXC_000004,S,AHORRO,38571076870,834,CARGO FISCAL TRANSACCIONAL,2024-12-22,2025-07-14,2025-10-11,285.77,257.19,28.58,293,89,204,0.89999,0.10001,pago_parcial,0,1,0,1,0,181_360_dias
5,CXC_000005,S,AHORRO,92759986619,834,CARGO FISCAL TRANSACCIONAL,2025-02-22,2025-09-01,2025-10-11,17048.76,17048.76,0.0,231,40,191,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
6,CXC_000006,S,AHORRO,45058872234,788,TRANSFERENCIA CANAL FISICO,2025-05-21,2025-07-22,2025-10-11,370.19,370.19,0.0,143,81,62,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
7,CXC_000007,S,AHORRO,30719760344,834,CARGO FISCAL TRANSACCIONAL,2025-05-03,2025-08-03,2025-10-11,27623.59,27623.59,0.0,161,69,92,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
8,CXC_000008,S,AHORRO,25026503559,1517,COBRO SERVICIO TRANSPORTE,2024-12-30,2025-07-16,2025-10-11,693.88,693.88,0.0,285,87,198,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
9,CXC_000009,S,AHORRO,23809278607,497,PAGO SERVICIO ELECTRONICO,2024-11-27,2025-03-28,2025-10-11,2039.71,2039.71,0.0,318,197,121,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
10,CXC_000010,S,AHORRO,97668253073,834,CARGO FISCAL TRANSACCIONAL,2025-03-12,2025-06-16,2025-10-11,637.51,573.76,63.75,213,117,96,0.900002,0.099998,pago_parcial,0,1,0,1,0,181_360_dias
11,CXC_000011,S,AHORRO,48150626436,1517,COBRO SERVICIO TRANSPORTE,2025-02-01,2025-08-21,2025-10-11,1464.14,1464.14,0.0,252,51,201,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
12,CXC_000012,S,AHORRO,15682950513,834,CARGO FISCAL TRANSACCIONAL,2025-07-06,2025-09-29,2025-10-11,1383.44,0.0,1383.44,97,12,85,0.0,1.0,sin_pago,0,0,1,1,1,91_180_dias
13,CXC_000013,S,AHORRO,54242783600,834,CARGO FISCAL TRANSACCIONAL,2025-01-06,2025-01-07,2025-10-11,1001.68,1001.68,0.0,278,277,1,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
14,CXC_000014,S,AHORRO,35950903644,834,CARGO FISCAL TRANSACCIONAL,2025-03-09,2025-08-20,2025-10-11,1495.84,1056.81,439.03,216,52,164,0.706499,0.293501,pago_parcial,0,1,0,1,0,181_360_dias
15,CXC_000015,S,AHORRO,29045469771,834,CARGO FISCAL TRANSACCIONAL,2025-04-19,2025-05-03,2025-10-11,22000.35,19800.31,2200.04,175,161,14,0.9,0.1,pago_parcial,0,1,0,1,0,91_180_dias
16,CXC_000016,S,AHORRO,28668914281,1517,COBRO SERVICIO TRANSPORTE,2025-01-22,2025-09-02,2025-10-11,6873.66,6873.66,0.0,262,39,223,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
17,CXC_000017,S,AHORRO,62111847617,2048,COMISION TRANSFERENCIA EXTERNA A,2024-10-17,2025-09-01,2025-10-11,3305.85,3305.85,0.0,359,40,319,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
18,CXC_000018,S,AHORRO,89925804188,329,DEBITO ABONO CARTERA,2025-06-05,2025-08-16,2025-10-11,300000.0,300000.0,0.0,128,56,72,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
19,CXC_000019,S,AHORRO,19884966007,1157,COMISION CONSULTA SALDO,2025-04-10,2025-09-07,2025-10-11,5890.14,0.0,5890.14,184,34,150,0.0,1.0,sin_pago,0,0,1,1,1,181_360_dias
20,CXC_000020,S,AHORRO,36111903715,137,COMISION RETIRO CANAL A,2024-10-19,2025-03-16,2025-10-11,4607.31,4146.58,460.73,357,209,148,0.9,0.1,pago_parcial,0,1,0,1,0,181_360_dias
21,CXC_000021,S,AHORRO,53726630683,574,COMISION RETIRO INTERNACIONAL,2025-01-03,2025-08-20,2025-10-11,6643.8,6643.8,0.0,281,52,229,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
22,CXC_000022,S,AHORRO,93385811806,87,CARGO FISCAL IVA COMISION B,2025-06-28,2025-08-03,2025-10-11,4053.05,3647.75,405.3,105,69,36,0.900001,0.099999,pago_parcial,0,1,0,1,0,91_180_dias
23,CXC_000023,S,AHORRO,78409066180,176,COMISION RETIRO CORRESPONSAL B,2025-01-17,2025-02-17,2025-10-11,877.94,877.94,0.0,267,236,31,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
24,CXC_000024,S,AHORRO,80382339396,1705,TRANSFERENCIA BOTON DIGITAL,2024-10-29,2024-11-17,2025-10-11,355.69,355.69,0.0,347,328,19,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
25,CXC_000025,S,AHORRO,35011715267,137,COMISION RETIRO CANAL A,2024-12-15,2025-08-07,2025-10-11,4458.15,4458.15,0.0,300,65,235,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
26,CXC_000026,S,AHORRO,56585937906,834,CARGO FISCAL TRANSACCIONAL,2025-01-04,2025-01-12,2025-10-11,6653.95,6653.95,0.0,280,272,8,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
27,CXC_000027,S,AHORRO,82412333755,834,CARGO FISCAL TRANSACCIONAL,2025-01-25,2025-08-05,2025-10-11,148.25,148.25,0.0,259,67,192,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
28,CXC_000028,S,AHORRO,78940944080,2285,APERTURA INVERSION VIRTUAL,2025-02-12,2025-05-06,2025-10-11,3417.62,3075.86,341.76,241,158,83,0.900001,0.099999,pago_parcial,0,1,0,1,0,181_360_dias
29,CXC_000029,S,AHORRO,61629564269,834,CARGO FISCAL TRANSACCIONAL,2024-12-30,2025-01-20,2025-10-11,2345.47,2110.92,234.55,285,264,21,0.899999,0.100001,pago_parcial,0,1,0,1,0,181_360_dias
30,CXC_000030,S,AHORRO,86627782134,1157,COMISION CONSULTA SALDO,2025-06-29,2025-08-02,2025-10-11,3187.36,3187.36,0.0,104,70,34,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
31,CXC_000031,S,AHORRO,86682309522,1705,TRANSFERENCIA BOTON DIGITAL,2025-03-11,2025-05-14,2025-10-11,280.22,280.22,0.0,214,150,64,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
32,CXC_000032,S,AHORRO,51139249706,834,CARGO FISCAL TRANSACCIONAL,2025-04-10,2025-05-18,2025-10-11,3259.68,3259.68,0.0,184,146,38,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
33,CXC_000033,S,AHORRO,37106417638,176,COMISION RETIRO CORRESPONSAL B,2025-01-09,2025-08-10,2025-10-11,2831.48,2548.33,283.15,275,62,213,0.899999,0.100001,pago_parcial,0,1,0,1,0,181_360_dias
34,CXC_000034,S,AHORRO,82947584327,834,CARGO FISCAL TRANSACCIONAL,2024-12-04,2024-12-14,2025-10-11,2123.66,2123.66,0.0,311,301,10,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
35,CXC_000035,S,AHORRO,54440385719,834,CARGO FISCAL TRANSACCIONAL,2025-04-04,2025-04-20,2025-10-11,1382.34,1382.34,0.0,190,174,16,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
36,CXC_000036,S,AHORRO,60668093839,834,CARGO FISCAL TRANSACCIONAL,2025-01-21,2025-08-26,2025-10-11,862.72,862.72,0.0,263,46,217,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
37,CXC_000037,S,AHORRO,53364452224,834,CARGO FISCAL TRANSACCIONAL,2025-03-09,2025-07-03,2025-10-11,41755.45,4285.89,37469.56,216,100,116,0.102643,0.897357,pago_parcial,0,1,0,1,0,181_360_dias
38,CXC_000038,S,AHORRO,32843913874,2048,COMISION TRANSFERENCIA EXTERNA A,2024-11-08,2025-02-25,2025-10-11,19675.99,19675.99,0.0,337,228,109,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
39,CXC_000039,S,AHORRO,98517471438,497,PAGO SERVICIO ELECTRONICO,2025-03-23,2025-06-10,2025-10-11,87832.47,87832.47,0.0,202,123,79,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
40,CXC_000040,S,AHORRO,59568389609,834,CARGO FISCAL TRANSACCIONAL,2024-10-19,2025-03-29,2025-10-11,22227.01,16179.36,6047.65,357,196,161,0.727914,0.272086,pago_parcial,0,1,0,1,0,181_360_dias
41,CXC_000041,S,AHORRO,39052250494,2106,COMISION TRANSFERENCIA EXTERNA B,2024-11-03,2025-06-01,2025-10-11,28129.34,28129.34,0.0,342,132,210,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
42,CXC_000042,S,AHORRO,39661033076,1517,COBRO SERVICIO TRANSPORTE,2025-02-09,2025-04-05,2025-10-11,1331.77,1331.77,0.0,244,189,55,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
43,CXC_000043,S,AHORRO,74182945575,1787,PAGO PUNTO EXTERNO,2024-11-12,2024-12-01,2025-10-11,539.85,539.85,0.0,333,314,19,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
44,CXC_000044,S,AHORRO,77808414969,1734,CARGO MORA OBLIGACION,2025-03-23,2025-07-03,2025-10-11,527.54,527.54,0.0,202,100,102,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
45,CXC_000045,S,AHORRO,97190182142,1157,COMISION CONSULTA SALDO,2025-06-10,2025-07-16,2025-10-11,1170.4,0.0,1170.4,123,87,36,0.0,1.0,sin_pago,0,0,1,1,1,91_180_dias
46,CXC_000046,S,AHORRO,95976845147,834,CARGO FISCAL TRANSACCIONAL,2024-11-10,2025-09-06,2025-10-11,1419.07,1419.07,0.0,335,35,300,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
47,CXC_000047,S,AHORRO,93796695131,834,CARGO FISCAL TRANSACCIONAL,2025-04-09,2025-07-24,2025-10-11,2443.06,2443.06,0.0,185,79,106,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
48,CXC_000048,S,AHORRO,67367762459,834,CARGO FISCAL TRANSACCIONAL,2025-04-23,2025-07-17,2025-10-11,468.97,468.97,0.0,171,86,85,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
